Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
STS-104,Michael Gernhardt,200,15-Jul-01,15-Jul-01,05:59:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-104,James F. Reilly,200,15-Jul-01,15-Jul-01,05:59:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-104,Michael Gernhardt,201,18-Jul-01,18-Jul-01,06:29:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-104,James F. Reilly,201,18-Jul-01,18-Jul-01,06:29:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-104,Michael Gernhardt,202,21-Jul-01,21-Jul-01,04:02:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-104,James F. Reilly,202,21-Jul-01,21-Jul-01,04:02:00,FALSE,FALSE,FALSE,12-07-2001,"STS-104, Atlantis",ISS
STS-105,Daniel Barry,203,16-Aug-01,16-Aug-01,06:16:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
STS-105,Patrick Forrester,203,16-Aug-01,16-Aug-01,06:16:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
STS-105,Daniel Barry,204,18-Aug-01,18-Aug-01,05:29:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
STS-105,Patrick Forrester,204,18-Aug-01,18-Aug-01,05:29:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Vladimir N. Dezhurov,205,08-Oct-01,08-Oct-01,04:58:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Mikhail Tyurin,205,08-Oct-01,08-Oct-01,04:58:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Vladimir N. Dezhurov,206,15-Oct-01,15-Oct-01,05:51:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Mikhail Tyurin,206,15-Oct-01,15-Oct-01,05:51:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Vladimir N. Dezhurov,207,12-Nov-01,13-Nov-01,05:05:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Frank Culbertson,207,12-Nov-01,13-Nov-01,05:05:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Vladimir N. Dezhurov,208,03-Dec-01,03-Dec-01,02:46:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
ISS Expedition 3,Mikhail Tyurin,208,03-Dec-01,03-Dec-01,02:46:00,FALSE,FALSE,FALSE,10-08-2001,"STS-105, Discovery",ISS
STS-108,Linda Godwin,209,10-Dec-01,10-Dec-01,04:12:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
STS-108,Daniel Tani,209,10-Dec-01,10-Dec-01,04:12:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
ISS Expedition 4,Yuri Onufrienko,210,14-Jan-02,15-Jan-02,06:03:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
ISS Expedition 4,Carl E. Walz,210,14-Jan-02,15-Jan-02,06:03:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
ISS Expedition 4,Yuri Onufrienko,211,25-Jan-02,25-Jan-02,05:59:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
