Crew Name,Spacecraft (Launch),Spacecraft (Return),Changed craft,Duration (days),Launch date,Return date,Destination,Space Station,Mission Result
Yuri Gagarin,Vostok 1,Vostok 1,FALSE,0.07,21-04-1961,21-04-1961,Earth Orbit,None visited,Returned
Alan Shepard,Mercury-Redstone 3,Mercury-Redstone 3,FALSE,0.01,05-05-1961,05-05-1961,Non-orbital space,None visited,Returned
Virgil Grissom,Mercury-Redstone 4,Mercury-Redstone 4,FALSE,0.01,21-07-1961,21-07-1961,Non-orbital space,None visited,Returned
Gherman Titov,Vostok 2,Vostok 2,FALSE,1.05,06-08-1961,07-08-1961,Earth Orbit,None visited,Returned
John Glenn,Mercury-Atlas 6,Mercury-Atlas 6,FALSE,0.21,20-02-1962,20-02-1962,Earth Orbit,None visited,Returned
Scott Carpenter,Mercury-Atlas 7,Mercury-Atlas 7,FALSE,0.21,24-05-1962,24-05-1962,Earth Orbit,None visited,Returned
Andriyan Nikolayev,Vostok 3,Vostok 3,FALSE,3.94,11-08-1962,15-08-1962,Earth Orbit,None visited,Returned
Pavel Popovich,Vostok 4,Vostok 4,FALSE,2.96,12-08-1962,15-08-1962,Earth Orbit,None visited,Returned
Wally Schirra,Mercury-Atlas 8,Mercury-Atlas 8,FALSE,0.38,03-10-1962,03-10-1962,Earth Orbit,None visited,Returned
Gordon Cooper,Mercury-Atlas 9,Mercury-Atlas 9,FALSE,1.43,15-05-1963,16-05-1963,Earth Orbit,None visited,Returned
Valery Bykovsky,Vostok 5,Vostok 5,FALSE,4.96,14-06-1963,19-06-1963,Earth Orbit,None visited,Returned
Valentina Tereshkova,Vostok 6,Vostok 6,FALSE,2.95,16-06-1963,19-06-1963,Earth Orbit,None visited,Returned
Joseph A. Walker,"X-15, Flight 90","X-15, Flight 90",FALSE,0.01,19-07-1963,19-07-1963,Non-orbital space,None visited,Returned
Joseph A. Walker,"X-15, Flight 91","X-15, Flight 91",FALSE,0.01,22-08-1963,22-08-1963,Non-orbital space,None visited,Returned
Boris Yegorov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Konstantin Feoktistov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Vladimir Komarov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Alexei Leonov,Voskhod 2,Voskhod 2,FALSE,1.08,18-03-1965,19-03-1965,Earth Orbit,None visited,Returned
Pavel Belyayev,Voskhod 2,Voskhod 2,FALSE,1.08,18-03-1965,19-03-1965,Earth Orbit,None visited,Returned
John Young,Gemini 3,Gemini 3,FALSE,0.2,23-03-1965,23-03-1965,Earth Orbit,None visited,Returned
Virgil Grissom,Gemini 3,Gemini 3,FALSE,0.2,23-03-1965,23-03-1965,Earth Orbit,None visited,Returned
Ed White,Gemini 4,Gemini 4,FALSE,4.08,03-06-1965,07-06-1965,Earth Orbit,None visited,Returned
James McDivitt,Gemini 4,Gemini 4,FALSE,4.08,03-06-1965,07-06-1965,Earth Orbit,None visited,Returned
Gordon Cooper,Gemini 5,Gemini 5,FALSE,7.95,21-08-1965,29-08-1965,Earth Orbit,None visited,Returned
Pete Conrad,Gemini 5,Gemini 5,FALSE,7.95,21-08-1965,29-08-1965,Earth Orbit,None visited,Returned
Frank Borman,Gemini 7,Gemini 7,FALSE,13.77,04-12-1965,18-12-1965,Earth Orbit,None visited,Returned
Jim Lovell,Gemini 7,Gemini 7,FALSE,13.77,04-12-1965,18-12-1965,Earth Orbit,None visited,Returned
Thomas P. Stafford,Gemini 6,Gemini 6,FALSE,1.08,15-12-1965,16-12-1965,Earth Orbit,None visited,Returned
Wally Schirra,Gemini 6,Gemini 6,FALSE,1.08,15-12-1965,16-12-1965,Earth Orbit,None visited,Returned
David Scott,Gemini 8,Gemini 8,FALSE,0.45,16-03-1966,17-03-1966,Earth Orbit,None visited,Returned
Neil Armstrong,Gemini 8,Gemini 8,FALSE,0.45,16-03-1966,17-03-1966,Earth Orbit,None visited,Returned
Gene Cernan,Gemini 9,Gemini 9,FALSE,3.01,03-06-1966,06-06-1966,Earth Orbit,None visited,Returned
Thomas P. Stafford,Gemini 9,Gemini 9,FALSE,3.01,03-06-1966,06-06-1966,Earth Orbit,None visited,Returned
John Young,Gemini 10,Gemini 10,FALSE,2.95,18-07-1966,21-07-1966,Earth Orbit,None visited,Returned
Michael Collins,Gemini 10,Gemini 10,FALSE,2.95,18-07-1966,21-07-1966,Earth Orbit,None visited,Returned
Pete Conrad,Gemini 11,Gemini 11,FALSE,2.97,12-09-1966,15-09-1966,Earth Orbit,None visited,Returned
Richard Gordon,Gemini 11,Gemini 11,FALSE,2.97,12-09-1966,15-09-1966,Earth Orbit,None visited,Returned
Buzz Aldrin,Gemini 12,Gemini 12,FALSE,3.94,11-11-1966,15-11-1966,Earth Orbit,None visited,Returned
Jim Lovell,Gemini 12,Gemini 12,FALSE,3.94,11-11-1966,15-11-1966,Earth Orbit,None visited,Returned
Vladimir Komarov,Soyuz 1,Soyuz 1,FALSE,1.12,23-04-1967,24-04-1967,Earth Orbit,None visited,Fail-to-land
Donn F. Eisele,Apollo 7,Apollo 7,FALSE,10.84,11-10-1968,22-10-1968,Earth Orbit,None visited,Returned
Wally Schirra,Apollo 7,Apollo 7,FALSE,10.84,11-10-1968,22-10-1968,Earth Orbit,None visited,Returned
Walter Cunningham,Apollo 7,Apollo 7,FALSE,10.84,11-10-1968,22-10-1968,Earth Orbit,None visited,Returned
Georgi Beregovoi,Soyuz 3,Soyuz 3,FALSE,3.95,26-10-1968,30-10-1968,Earth Orbit,None visited,Returned
Frank Borman,Apollo 8,Apollo 8,FALSE,6.13,21-12-1968,27-12-1968,Moon,None visited,Returned
Jim Lovell,Apollo 8,Apollo 8,FALSE,6.13,21-12-1968,27-12-1968,Moon,None visited,Returned
William Anders,Apollo 8,Apollo 8,FALSE,6.13,21-12-1968,27-12-1968,Moon,None visited,Returned
Vladimir Shatalov,Soyuz 4,Soyuz 4,FALSE,2.97,14-01-1969,17-01-1969,Earth Orbit,None visited,Returned
Aleksei Yeliseyev,Soyuz 5,Soyuz 4,TRUE,1.99,15-01-1969,17-01-1969,Earth Orbit,None visited,Returned
Boris Volynov,Soyuz 5,Soyuz 5,FALSE,3.04,15-01-1969,18-01-1969,Earth Orbit,None visited,Returned
Yevgeny Khrunov,Soyuz 5,Soyuz 4,TRUE,1.99,15-01-1969,17-01-1969,Earth Orbit,None visited,Returned
David Scott,Apollo 9,Apollo 9,FALSE,10.04,03-03-1969,13-03-1969,Earth Orbit,None visited,Returned
James McDivitt,Apollo 9,Apollo 9,FALSE,10.04,03-03-1969,13-03-1969,Earth Orbit,None visited,Returned
Rusty Schweickart,Apollo 9,Apollo 9,FALSE,10.04,03-03-1969,13-03-1969,Earth Orbit,None visited,Returned
Gene Cernan,Apollo 10,Apollo 10,FALSE,8,18-05-1969,26-05-1969,Moon,None visited,Returned
John Young,Apollo 10,Apollo 10,FALSE,8,18-05-1969,26-05-1969,Moon,None visited,Returned
Thomas P. Stafford,Apollo 10,Apollo 10,FALSE,8,18-05-1969,26-05-1969,Moon,None visited,Returned
Buzz Aldrin,Apollo 11,Apollo 11,FALSE,8.14,16-07-1969,24-07-1969,Moon,None visited,Returned
Michael Collins,Apollo 11,Apollo 11,FALSE,8.14,16-07-1969,24-07-1969,Moon,None visited,Returned
Neil Armstrong,Apollo 11,Apollo 11,FALSE,8.14,16-07-1969,24-07-1969,Moon,None visited,Returned
Georgy Shonin,Soyuz 6,Soyuz 6,FALSE,4.95,11-10-1969,16-10-1969,Earth Orbit,None visited,Returned
Valery Kubasov,Soyuz 6,Soyuz 6,FALSE,4.95,11-10-1969,16-10-1969,Earth Orbit,None visited,Returned
Anatoly Filipchenko,Soyuz 7,Soyuz 7,FALSE,4.94,12-10-1969,17-10-1969,Earth Orbit,None visited,Returned
Viktor Gorbatko,Soyuz 7,Soyuz 7,FALSE,4.94,12-10-1969,17-10-1969,Earth Orbit,None visited,Returned
Vladislav Volkov,Soyuz 7,Soyuz 7,FALSE,4.94,12-10-1969,17-10-1969,Earth Orbit,None visited,Returned
Aleksei Yeliseyev,Soyuz 8,Soyuz 8,FALSE,4.95,13-10-1969,18-10-1969,Earth Orbit,None visited,Returned
Vladimir Shatalov,Soyuz 8,Soyuz 8,FALSE,4.95,13-10-1969,18-10-1969,Earth Orbit,None visited,Returned
Alan Bean,Apollo 12,Apollo 12,FALSE,10.19,14-11-1969,24-11-1969,Moon,None visited,Returned
Pete Conrad,Apollo 12,Apollo 12,FALSE,10.19,14-11-1969,24-11-1969,Moon,None visited,Returned
Richard Gordon,Apollo 12,Apollo 12,FALSE,10.19,14-11-1969,24-11-1969,Moon,None visited,Returned
Fred Haise,Apollo 13,Apollo 13,FALSE,5.95,11-04-1970,17-04-1970,Moon,None visited,Returned
Jim Lovell,Apollo 13,Apollo 13,FALSE,5.95,11-04-1970,17-04-1970,Moon,None visited,Returned
John Swigert,Apollo 13,Apollo 13,FALSE,5.95,11-04-1970,17-04-1970,Moon,None visited,Returned
Andriyan Nikolayev,Soyuz 9,Soyuz 9,FALSE,17.71,01-06-1970,19-06-1970,Earth Orbit,None visited,Returned
Vitaly Sevastyanov,Soyuz 9,Soyuz 9,FALSE,17.71,01-06-1970,19-06-1970,Earth Orbit,None visited,Returned
Alan Shepard,Apollo 14,Apollo 14,FALSE,9,31-01-1971,09-02-1971,Moon,None visited,Returned
Edgar Mitchell,Apollo 14,Apollo 14,FALSE,9,31-01-1971,09-02-1971,Moon,None visited,Returned
Stuart Roosa,Apollo 14,Apollo 14,FALSE,9,31-01-1971,09-02-1971,Moon,None visited,Returned
Aleksei Yeliseyev,Soyuz 10,Soyuz 10,FALSE,1.99,22-04-1971,24-04-1971,Other Space station,Salyut 1,Returned
Nikolay Rukavishnikov,Soyuz 10,Soyuz 10,FALSE,1.99,22-04-1971,24-04-1971,Other Space station,Salyut 1,Returned
Vladimir Shatalov,Soyuz 10,Soyuz 10,FALSE,1.99,22-04-1971,24-04-1971,Other Space station,Salyut 1,Returned
Georgi Dobrovolski,Soyuz 11,Soyuz 11,FALSE,23.77,06-06-1971,29-06-1971,Other Space station,Salyut 1,Fail-to-land
Viktor Patsayev,Soyuz 11,Soyuz 11,FALSE,23.77,06-06-1971,29-06-1971,Other Space station,Salyut 1,Fail-to-land
Vladislav Volkov,Soyuz 11,Soyuz 11,FALSE,23.77,06-06-1971,29-06-1971,Other Space station,Salyut 1,Fail-to-land
Alfred Worden,Apollo 15,Apollo 15,FALSE,12.3,26-07-1971,07-08-1971,Moon,None visited,Returned
David Scott,Apollo 15,Apollo 15,FALSE,12.3,26-07-1971,07-08-1971,Moon,None visited,Returned
James Irwin,Apollo 15,Apollo 15,FALSE,12.3,26-07-1971,07-08-1971,Moon,None visited,Returned
Charles Duke,Apollo 16,Apollo 16,FALSE,11.08,16-04-1972,27-04-1972,Moon,None visited,Returned
John Young,Apollo 16,Apollo 16,FALSE,11.08,16-04-1972,27-04-1972,Moon,None visited,Returned
Thomas Kenneth Mattingly II,Apollo 16,Apollo 16,FALSE,11.08,16-04-1972,27-04-1972,Moon,None visited,Returned
Gene Cernan,Apollo 17,Apollo 17,FALSE,12.58,07-12-1972,19-12-1972,Moon,None visited,Returned
Harrison Schmitt,Apollo 17,Apollo 17,FALSE,12.58,07-12-1972,19-12-1972,Moon,None visited,Returned
Ronald Evans,Apollo 17,Apollo 17,FALSE,12.58,07-12-1972,19-12-1972,Moon,None visited,Returned
Joseph Kerwin,Skylab 2,Skylab 2,FALSE,28.03,25-05-1973,22-06-1973,Other Space station,Skylab,Returned
Paul Weitz,Skylab 2,Skylab 2,FALSE,28.03,25-05-1973,22-06-1973,Other Space station,Skylab,Returned
Pete Conrad,Skylab 2,Skylab 2,FALSE,28.03,25-05-1973,22-06-1973,Other Space station,Skylab,Returned
Alan Bean,Skylab 3,Skylab 3,FALSE,59.47,28-07-1973,25-09-1973,Other Space station,Skylab,Returned
Jack Lousma,Skylab 3,Skylab 3,FALSE,59.47,28-07-1973,25-09-1973,Other Space station,Skylab,Returned
Owen Garriott,Skylab 3,Skylab 3,FALSE,59.47,28-07-1973,25-09-1973,Other Space station,Skylab,Returned
Oleg Makarov,Soyuz 12,Soyuz 12,FALSE,1.97,27-09-1973,29-09-1973,Earth Orbit,None visited,Returned
Vasili Lazarev,Soyuz 12,Soyuz 12,FALSE,1.97,27-09-1973,29-09-1973,Earth Orbit,None visited,Returned
Edward Gibson,Skylab 4,Skylab 4,FALSE,84.05,16-11-1973,08-02-1974,Other Space station,Skylab,Returned
Gerald Carr,Skylab 4,Skylab 4,FALSE,84.05,16-11-1973,08-02-1974,Other Space station,Skylab,Returned
William Pogue,Skylab 4,Skylab 4,FALSE,84.05,16-11-1973,08-02-1974,Other Space station,Skylab,Returned
Pyotr Klimuk,Soyuz 13,Soyuz 13,FALSE,7.87,18-12-1973,26-12-1973,Earth Orbit,None visited,Returned
Valentin Lebedev,Soyuz 13,Soyuz 13,FALSE,7.87,18-12-1973,26-12-1973,Earth Orbit,None visited,Returned
Pavel Popovich,Soyuz 14,Soyuz 14,FALSE,15.73,03-07-1974,19-07-1974,Other Space station,Salyut 3,Returned
Yuri Artyukhin,Soyuz 14,Soyuz 14,FALSE,15.73,03-07-1974,19-07-1974,Other Space station,Salyut 3,Returned
Gennadi Sarafanov,Soyuz 15,Soyuz 15,FALSE,2.01,26-08-1974,28-08-1974,Earth Orbit,None visited,Returned
Lev Dyomin,Soyuz 15,Soyuz 15,FALSE,2.01,26-08-1974,28-08-1974,Earth Orbit,None visited,Returned
Anatoly Filipchenko,Soyuz 16,Soyuz 16,FALSE,5.93,02-12-1974,08-12-1974,Earth Orbit,None visited,Returned
Nikolay Rukavishnikov,Soyuz 16,Soyuz 16,FALSE,5.93,02-12-1974,08-12-1974,Earth Orbit,None visited,Returned
Aleksei Gubarev,Soyuz 17,Soyuz 17,FALSE,29.56,10-01-1975,09-02-1975,Other Space station,Salyut 4,Returned
Georgi Grechko,Soyuz 17,Soyuz 17,FALSE,29.56,10-01-1975,09-02-1975,Other Space station,Salyut 4,Returned
Oleg Makarov,Soyuz 18A,Soyuz 18A,FALSE,0.01,05-04-1975,05-04-1975,Non-orbital space,None visited,Returned
Vasili Lazarev,Soyuz 18A,Soyuz 18A,FALSE,0.01,05-04-1975,05-04-1975,Non-orbital space,None visited,Returned
Pyotr Klimuk,Soyuz 18B,Soyuz 18B,FALSE,62.97,24-05-1975,26-07-1975,Other Space station,Salyut 4,Returned
Vitaly Sevastyanov,Soyuz 18B,Soyuz 18B,FALSE,62.97,24-05-1975,26-07-1975,Other Space station,Salyut 4,Returned
Alexei Leonov,Soyuz 19-ASTP,Soyuz 19-ASTP,FALSE,5.94,15-07-1975,21-07-1975,Earth Orbit,None visited,Returned
Valery Kubasov,Soyuz 19-ASTP,Soyuz 19-ASTP,FALSE,5.94,15-07-1975,21-07-1975,Earth Orbit,None visited,Returned
Donald Slayton,Apollo 18-ASTP,Apollo 18-ASTP,FALSE,9.06,15-07-1975,24-07-1975,Earth Orbit,None visited,Returned
Thomas P. Stafford,Apollo 18-ASTP,Apollo 18-ASTP,FALSE,9.06,15-07-1975,24-07-1975,Earth Orbit,None visited,Returned
Vance Brand,Apollo 18-ASTP,Apollo 18-ASTP,FALSE,9.06,15-07-1975,24-07-1975,Earth Orbit,None visited,Returned
Boris Volynov,Soyuz 21,Soyuz 21,FALSE,49.27,06-07-1976,24-08-1976,Other Space station,Salyut 5,Returned
Vitaly Zholobov,Soyuz 21,Soyuz 21,FALSE,49.27,06-07-1976,24-08-1976,Other Space station,Salyut 5,Returned
Valery Bykovsky,Soyuz 22,Soyuz 22,FALSE,7.91,15-09-1976,23-09-1976,Earth Orbit,None visited,Returned
Vladimir Aksyonov,Soyuz 22,Soyuz 22,FALSE,7.91,15-09-1976,23-09-1976,Earth Orbit,None visited,Returned
Valery Rozhdestvensky,Soyuz 23,Soyuz 23,FALSE,2,14-10-1976,16-10-1976,Earth Orbit,None visited,Returned
Vyacheslav Zudov,Soyuz 23,Soyuz 23,FALSE,2,14-10-1976,16-10-1976,Earth Orbit,None visited,Returned
Viktor Gorbatko,Soyuz 24,Soyuz 24,FALSE,17.73,07-02-1977,25-02-1977,Other Space station,Salyut 5,Returned
Yuri Glazkov,Soyuz 24,Soyuz 24,FALSE,17.73,07-02-1977,25-02-1977,Other Space station,Salyut 5,Returned
Valery Ryumin,Soyuz 25,Soyuz 25,FALSE,2.03,09-10-1977,11-10-1977,Earth Orbit,None visited,Returned
Vladimir Kovalyonok,Soyuz 25,Soyuz 25,FALSE,2.03,09-10-1977,11-10-1977,Earth Orbit,None visited,Returned
Georgi Grechko,Soyuz 26,Soyuz 27,TRUE,96.42,10-12-1977,16-03-1978,Other Space station,Salyut 6,Returned
Yuri Romanenko,Soyuz 26,Soyuz 27,TRUE,96.42,10-12-1977,16-03-1978,Other Space station,Salyut 6,Returned
Oleg Makarov,Soyuz 27,Soyuz 26,TRUE,5.96,10-01-1978,16-01-1978,Other Space station,Salyut 6,Returned
Vladimir Dzhanibekov,Soyuz 27,Soyuz 26,TRUE,5.96,10-01-1978,16-01-1978,Other Space station,Salyut 6,Returned
Aleksei Gubarev,Soyuz 28,Soyuz 28,FALSE,7.93,02-03-1978,10-03-1978,Other Space station,Salyut 6,Returned
Vladimír Remek,Soyuz 28,Soyuz 28,FALSE,7.93,02-03-1978,10-03-1978,Other Space station,Salyut 6,Returned
Aleksandr Ivanchenkov,Soyuz 29,Soyuz 31,TRUE,139.62,15-06-1978,02-11-1978,Other Space station,Salyut 6,Returned
Vladimir Kovalyonok,Soyuz 29,Soyuz 31,TRUE,139.62,15-06-1978,02-11-1978,Other Space station,Salyut 6,Returned
Miros?aw Hermaszewski,Soyuz 30,Soyuz 30,FALSE,7.92,27-06-1978,05-07-1978,Other Space station,Salyut 6,Returned
Pyotr Klimuk,Soyuz 30,Soyuz 30,FALSE,7.92,27-06-1978,05-07-1978,Other Space station,Salyut 6,Returned
Sigmund Jähn,Soyuz 31,Soyuz 29,TRUE,7.87,26-08-1978,03-09-1978,Other Space station,Salyut 6,Returned
Valery Bykovsky,Soyuz 31,Soyuz 29,TRUE,7.87,26-08-1978,03-09-1978,Other Space station,Salyut 6,Returned
Valery Ryumin,Soyuz 32,Soyuz 34,TRUE,175.02,25-02-1979,19-08-1979,Other Space station,Salyut 6,Returned
Vladimir Lyakhov,Soyuz 32,Soyuz 34,TRUE,175.02,25-02-1979,19-08-1979,Other Space station,Salyut 6,Returned
Georgi Ivanov,Soyuz 33,Soyuz 33,FALSE,1.96,10-04-1979,12-04-1979,Earth Orbit,None visited,Returned
Nikolay Rukavishnikov,Soyuz 33,Soyuz 33,FALSE,1.96,10-04-1979,12-04-1979,Earth Orbit,None visited,Returned
Leonid Popov,Soyuz 35,Soyuz 37,TRUE,184.36,10-04-1980,11-10-1980,Other Space station,Salyut 6,Returned
Valery Ryumin,Soyuz 35,Soyuz 37,TRUE,184.36,10-04-1980,11-10-1980,Other Space station,Salyut 6,Returned
Bertalan Farkas,Soyuz 36,Soyuz 35,TRUE,8.35,26-05-1980,04-06-1980,Other Space station,Salyut 6,Returned
Valery Kubasov,Soyuz 36,Soyuz 35,TRUE,8.35,26-05-1980,04-06-1980,Other Space station,Salyut 6,Returned
Vladimir Aksyonov,Soyuz T-2,Soyuz T-2,FALSE,3.93,05-06-1980,09-06-1980,Other Space station,Salyut 6,Returned
Yuri Malyshev,Soyuz T-2,Soyuz T-2,FALSE,3.93,05-06-1980,09-06-1980,Other Space station,Salyut 6,Returned
Pham Tuân,Soyuz 37,Soyuz 36,TRUE,7.86,23-07-1980,31-07-1980,Other Space station,Salyut 6,Returned
Viktor Gorbatko,Soyuz 37,Soyuz 36,TRUE,7.86,23-07-1980,31-07-1980,Other Space station,Salyut 6,Returned
Arnaldo Tamayo Méndez,Soyuz 38,Soyuz 38,FALSE,7.86,18-09-1980,26-09-1980,Other Space station,Salyut 6,Returned
Yuri Romanenko,Soyuz 38,Soyuz 38,FALSE,7.86,18-09-1980,26-09-1980,Other Space station,Salyut 6,Returned
Gennadi Strekalov,Soyuz T-3,Soyuz T-3,FALSE,12.8,27-11-1980,10-12-1980,Other Space station,Salyut 6,Returned
Leonid Kizim,Soyuz T-3,Soyuz T-3,FALSE,12.8,27-11-1980,10-12-1980,Other Space station,Salyut 6,Returned
Oleg Makarov,Soyuz T-3,Soyuz T-3,FALSE,12.8,27-11-1980,10-12-1980,Other Space station,Salyut 6,Returned
Viktor Savinykh,Soyuz T-4,Soyuz T-4,FALSE,74.73,12-03-1981,26-05-1981,Other Space station,Salyut 6,Returned
Vladimir Kovalyonok,Soyuz T-4,Soyuz T-4,FALSE,74.73,12-03-1981,26-05-1981,Other Space station,Salyut 6,Returned
Jügderdemidiin Gürragchaa,Soyuz 39,Soyuz 39,FALSE,7.86,22-03-1981,30-03-1981,Other Space station,Salyut 6,Returned
Vladimir Dzhanibekov,Soyuz 39,Soyuz 39,FALSE,7.86,22-03-1981,30-03-1981,Other Space station,Salyut 6,Returned
John Young,"STS-1, Columbia","STS-1, Columbia",FALSE,2.27,12-04-1981,14-04-1981,Earth Orbit,None visited,Returned
Robert Crippen,"STS-1, Columbia","STS-1, Columbia",FALSE,2.27,12-04-1981,14-04-1981,Earth Orbit,None visited,Returned
Dumitru Prunariu,Soyuz 40,Soyuz 40,FALSE,7.9,14-05-1981,22-05-1981,Other Space station,Salyut 6,Returned
Leonid Popov,Soyuz 40,Soyuz 40,FALSE,7.9,14-05-1981,22-05-1981,Other Space station,Salyut 6,Returned
Joseph H. Engle,"STS-2, Columbia","STS-2, Columbia",FALSE,2.26,12-11-1981,14-11-1981,Earth Orbit,None visited,Returned
Richard H. Truly,"STS-2, Columbia","STS-2, Columbia",FALSE,2.26,12-11-1981,14-11-1981,Earth Orbit,None visited,Returned
C. Gordon Fullerton,"STS-3, Columbia","STS-3, Columbia",FALSE,8,22-03-1982,30-03-1982,Earth Orbit,None visited,Returned
Jack Lousma,"STS-3, Columbia","STS-3, Columbia",FALSE,8,22-03-1982,30-03-1982,Earth Orbit,None visited,Returned
Anatoli Berezovoy,Soyuz T-5,Soyuz T-7,TRUE,211.38,13-05-1982,10-12-1982,Other Space station,Salyut 7,Returned
Valentin Lebedev,Soyuz T-5,Soyuz T-7,TRUE,211.38,13-05-1982,10-12-1982,Other Space station,Salyut 7,Returned
Aleksandr Ivanchenkov,Soyuz T-6,Soyuz T-6,FALSE,7.91,24-06-1982,02-07-1982,Other Space station,Salyut 7,Returned
Jean-Loup Chrétien,Soyuz T-6,Soyuz T-6,FALSE,7.91,24-06-1982,02-07-1982,Other Space station,Salyut 7,Returned
Vladimir Dzhanibekov,Soyuz T-6,Soyuz T-6,FALSE,7.91,24-06-1982,02-07-1982,Other Space station,Salyut 7,Returned
Henry Hartsfield,"STS-4, Columbia","STS-4, Columbia",FALSE,7.05,27-06-1982,04-07-1982,Earth Orbit,None visited,Returned
Thomas Kenneth Mattingly II,"STS-4, Columbia","STS-4, Columbia",FALSE,7.05,27-06-1982,04-07-1982,Earth Orbit,None visited,Returned
Aleksandr Serebrov,Soyuz T-7,Soyuz T-5,TRUE,7.91,19-08-1982,27-08-1982,Other Space station,Salyut 7,Returned
Leonid Popov,Soyuz T-7,Soyuz T-5,TRUE,7.91,19-08-1982,27-08-1982,Other Space station,Salyut 7,Returned
Svetlana Savitskaya,Soyuz T-7,Soyuz T-5,TRUE,7.91,19-08-1982,27-08-1982,Other Space station,Salyut 7,Returned
Joseph P. Allen,"STS-5, Columbia","STS-5, Columbia",FALSE,5.09,11-11-1982,16-11-1982,Earth Orbit,None visited,Returned
Robert Overmyer,"STS-5, Columbia","STS-5, Columbia",FALSE,5.09,11-11-1982,16-11-1982,Earth Orbit,None visited,Returned
Vance Brand,"STS-5, Columbia","STS-5, Columbia",FALSE,5.09,11-11-1982,16-11-1982,Earth Orbit,None visited,Returned
William B. Lenoir,"STS-5, Columbia","STS-5, Columbia",FALSE,5.09,11-11-1982,16-11-1982,Earth Orbit,None visited,Returned
Donald Peterson,"STS-6, Challenger","STS-6, Challenger",FALSE,5.02,04-04-1983,09-04-1983,Earth Orbit,None visited,Returned
Karol Bobko,"STS-6, Challenger","STS-6, Challenger",FALSE,5.02,04-04-1983,09-04-1983,Earth Orbit,None visited,Returned
Paul Weitz,"STS-6, Challenger","STS-6, Challenger",FALSE,5.02,04-04-1983,09-04-1983,Earth Orbit,None visited,Returned
Story Musgrave,"STS-6, Challenger","STS-6, Challenger",FALSE,5.02,04-04-1983,09-04-1983,Earth Orbit,None visited,Returned
Aleksandr Serebrov,Soyuz T-8,Soyuz T-8,FALSE,2.01,20-04-1983,22-04-1983,Earth Orbit,None visited,Returned
Gennadi Strekalov,Soyuz T-8,Soyuz T-8,FALSE,2.01,20-04-1983,22-04-1983,Earth Orbit,None visited,Returned
Vladimir Titov,Soyuz T-8,Soyuz T-8,FALSE,2.01,20-04-1983,22-04-1983,Earth Orbit,None visited,Returned
Frederick Hauck,"STS-7, Challenger","STS-7, Challenger",FALSE,6.1,18-06-1983,24-06-1983,Earth Orbit,None visited,Returned
John Fabian,"STS-7, Challenger","STS-7, Challenger",FALSE,6.1,18-06-1983,24-06-1983,Earth Orbit,None visited,Returned
Norman Thagard,"STS-7, Challenger","STS-7, Challenger",FALSE,6.1,18-06-1983,24-06-1983,Earth Orbit,None visited,Returned
Robert Crippen,"STS-7, Challenger","STS-7, Challenger",FALSE,6.1,18-06-1983,24-06-1983,Earth Orbit,None visited,Returned
Sally Ride,"STS-7, Challenger","STS-7, Challenger",FALSE,6.1,18-06-1983,24-06-1983,Earth Orbit,None visited,Returned
Aleksandr Pavlovich Aleksandrov,Soyuz T-9,Soyuz T-9,FALSE,149.45,27-06-1983,23-11-1983,Other Space station,Salyut 7,Returned
Vladimir Lyakhov,Soyuz T-9,Soyuz T-9,FALSE,149.45,27-06-1983,23-11-1983,Other Space station,Salyut 7,Returned
Dale Gardner,"STS-8, Challenger","STS-8, Challenger",FALSE,6.05,30-08-1983,05-09-1983,Earth Orbit,None visited,Returned
Daniel Brandenstein,"STS-8, Challenger","STS-8, Challenger",FALSE,6.05,30-08-1983,05-09-1983,Earth Orbit,None visited,Returned
Guion Bluford,"STS-8, Challenger","STS-8, Challenger",FALSE,6.05,30-08-1983,05-09-1983,Earth Orbit,None visited,Returned
Richard H. Truly,"STS-8, Challenger","STS-8, Challenger",FALSE,6.05,30-08-1983,05-09-1983,Earth Orbit,None visited,Returned
William Thornton,"STS-8, Challenger","STS-8, Challenger",FALSE,6.05,30-08-1983,05-09-1983,Earth Orbit,None visited,Returned
Brewster Shaw,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
Byron Lichtenberg,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
John Young,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
Owen Garriott,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
Robert Parker,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
Ulf Merbold,"STS-9, Columbia","STS-9, Columbia",FALSE,10.33,28-11-1983,08-12-1983,Earth Orbit,None visited,Returned
Bruce McCandless II,"41-B, Challenger","41-B, Challenger",FALSE,7.97,03-02-1984,11-02-1984,Earth Orbit,None visited,Returned
